a 啊 唉 哎
aa 阿 啊 吖 嗄 腌 锕
aaaa 啊啊 啊啊啊
aaba 阿爸
aadb 嗷嗷待哺
aae 阿
aaek 阿
aage 阿哥
aaha 啊哈
aaj 锕
aajj 安安静静
aajk 锕
aak 吖 啊 嗄
aakk 啊
aakw 嗄
aaky 吖
aala 阿拉
aam 阿妹
aama 阿妈
aamf 阿门
aamj 阿曼
aamw 阿妹
aao 腌
aaod 腌
aap 阿婆
aapo 阿婆
aapp 矮矮胖胖
aaqq 安安全全
aavi AA制
aaww 安安稳稳
aaxx 安安心心
aay 阿姨
aaya 啊呀
aayi 阿姨
aayo 啊哟
aaza 腌臜
ab 安保 阿伯
aba 爱不爱
abai 爱不爱
abb 按兵不动
abbd 按兵不动
abbu 哀兵必胜
abd 安邦定国
abdg 安邦定国
abdi 安步当车
abdj 安步当车
abdy 阿鼻地狱
abg 熬不过
abgo 熬不过
abhz 阿布哈兹
abj 矮半截
abjb 按部就班
abjp 矮半截
abl 阿波罗
abli 按比例
ablk 爱别离苦
ablm 鞍不离马
ablo 阿波罗
abma 奥巴马
abru 爱不忍释
abuu 爱不释手
abv 熬不住
abvb 阿布扎比
abvu 熬不住
abww 安不忘危
ac 按错
acba 爱词霸
acrk 爱才若渴 爱才如渴
acrm 爱财如命 爱才如命
acuj 暗藏杀机
acxj 暗藏玄机
ad 安定
ade 安道尔
ader 安道尔
adhe 爱达荷
adhx 爱德华
adic 暗渡陈仓
adl 奥地利
adli 奥地利 暗地里
adlu 安德鲁
adlx 案牍劳形
adly 澳大利亚
admj 奥达曼
adna 安东尼奥
adni 安东尼
adpu 爱丁堡
adrf 爱的人
adsa 敖德萨
adsf 安德森
adug 爱迪生
adum 挨打受骂
adw 暗淡无光
adwg 暗淡无光
adwn 安度晚年
ae 挨饿
aebu 哀而不伤
aeby 阿尔巴尼亚
aef 阿尔法
aefa 阿尔法
aej 阿尔及利亚
aeje 阿尔及尔
aejy 阿尔及利亚
ael 爱尔兰
aelj 爱尔兰
af 安分
afdy 埃弗顿
afet 埃菲尔铁塔
afh 阿富汗
afhj 阿富汗
aft 阿凡提
afti 阿凡提
afuj 安分守己
afzr 安富尊荣
ag 昂贵
agdk 按规定
agjy 爱岗敬业
agl 熬过来
agla 安哥拉
agld 熬过来
aglu 盎格鲁
agq 熬过去
agqu 熬过去
agrm 奥格瑞玛
agt 阿根廷
agtk 阿根廷
aguy 熬更守夜
agv 爱国者
agve 爱国者
agvy 爱国主义
agxb 爱国心
ah 昂 肮 盎 卬
ahby 哀鸿遍野
ahda 昂达
ahgv 昂贵
ahli 昂立
aho 肮 昂
ahoe 昂
ahoj 肮
ahp 卬
ahpe 卬
ahq 爱恨情仇
ahqi 昂起
ahqu 安魂曲
ahr 盎然
ahri 安好如初
ahrj 盎然 昂然
ahsi 盎司
ahu 昂首
ahud 暗红色
ahug 安徽省
ahuz 昂首
ahv 爱好者
ahve 爱好者
ahxk 安徽省
ahy 盎
ahyh 昂扬
ahym 盎
ahzh 肮脏
ai 爱 埃 挨 哎 唉 哀 皑 癌 蔼 矮 艾 碍 隘 捱 嗳 嗌 嫒 瑷 暧 砹 锿 霭 叆 堨 欸 毐
aiai 爱爱 皑皑 矮矮
aib 癌 皑
aibc 爱宝
aibe 癌
aibj 皑
aibm 癌变 挨边
aic 艾 蔼
aicd 爱才 爱财
aici 挨次 哀辞
aicv 蔼
aicx 艾
aid 挨打
aida 挨打
aidc 哀悼 爱到 挨到
aidd 爱戴
aidi 爱的
aidn 哀吊
aids 挨冻
aidw 爱得
aidz 挨斗
aie 隘 叆
aiee 挨饿
aiem 隘
